mean	sd	2.5%	97.5%	Rhat	n.eff
theta[87,2]	0.0385	0.1493	-0.2516	0.3433	1.001	27000
theta[88,2]	0.2838	0.1326	0.0224	0.5502	1.001	27000
theta[89,2]	-0.2262	0.138	-0.5183	0.032	1.001	27000
theta[90,2]	0.2707	0.1289	0.0138	0.5277	1.001	27000
theta[91,2]	0.2602	0.1318	-0.0055	0.5234	1.0011	18000
theta[92,2]	0.2756	0.1417	-0.0087	0.5583	1.001	27000
theta[93,2]	0.3282	0.1369	0.0716	0.6135	1.0011	12000
theta[94,2]	0.2891	0.1327	0.0287	0.5591	1.0011	12000
theta[95,2]	-0.1714	0.1421	-0.4352	0.1289	1.0011	12000
theta[96,2]	-0.2798	0.13	-0.5386	-0.0298	1.0009	27000
theta[97,2]	-0.2734	0.1466	-0.5651	0.0141	1.0011	13000
theta[98,2]	-0.0192	0.1504	-0.3168	0.2794	1.0012	8700
theta[99,2]	-0.2888	0.129	-0.5472	-0.04	1.0009	27000
theta[100,2]	-0.0765	0.1414	-0.3711	0.1861	1.0015	3500
theta[101,2]	0.1014	0.1468	-0.1953	0.3894	1.001	22000
theta[102,2]	0.1545	0.1462	-0.1249	0.4518	1.0011	10000
theta[103,2]	0.208	0.1424	-0.0823	0.4847	1.001	27000
theta[104,2]	0.1395	0.1437	-0.1489	0.427	1.0011	18000
theta[104,3]	-0.0569	0.1357	-0.3411	0.2011	1.001	27000
theta[1,2]	-0.0155	0.1481	-0.2978	0.2868	1.0011	18000
theta[2,2]	-0.045	0.1646	-0.3606	0.2919	1.001	27000
theta[3,2]	-0.024	0.1799	-0.366	0.3546	1.001	27000
theta[4,2]	-0.1554	0.1524	-0.4687	0.1299	1.001	26000
theta[5,2]	0.0645	0.2434	-0.4102	0.5408	1.001	27000
theta[6,2]	0.002	0.2347	-0.4789	0.4838	1.0012	7800
theta[7,2]	0.17	0.2158	-0.1938	0.6535	1.001	27000
