mean	sd	2.5%	97.5%	Rhat	n.eff
theta[25,2]	0.3808	0.7264	-1.0314	1.8274	1.0013	5700
theta[26,2]	0.6163	0.3567	-0.0559	1.328	1.0026	1200
theta[27,2]	-1.5724	0.8753	-3.3623	0.0655	1.0012	9100
theta[28,2]	0.7664	0.3071	0.1633	1.3668	1.0028	1100
theta[29,2]	-5e-04	0.2964	-0.5823	0.5794	1.001	27000
theta[30,2]	1.5642	0.3722	0.8372	2.2894	1.0025	1300
theta[31,2]	1.6129	0.2654	1.0855	2.1512	1.0014	4600
theta[32,2]	-0.1162	0.5155	-1.1231	0.8935	1.0017	2600
theta[33,2]	0.8431	0.2399	0.3387	1.2851	1.0011	15000
theta[34,2]	1.9653	0.3281	1.3242	2.6148	1.001	27000
theta[30,3]	1.3748	0.2458	0.8859	1.8514	1.001	27000
theta[31,3]	1.3553	0.2598	0.8362	1.8692	1.001	19000
theta[32,3]	-0.1026	0.4827	-1.0306	0.8489	1.002	2000
theta[33,3]	1.6728	0.2911	1.1397	2.297	1.0012	6800
theta[34,3]	1.644	0.2507	1.1602	2.1537	1.0014	4800
theta[1,2]	-1.6727	0.3494	-2.3991	-1.0341	1.0012	7700
theta[2,2]	-0.6751	0.292	-1.2291	-0.0972	1.0012	8400
theta[3,2]	-1.2667	0.3609	-1.9884	-0.5598	1.0009	27000
theta[4,2]	-1.4089	0.3721	-2.1567	-0.6867	1.001	27000
theta[5,2]	-3.9092	0.7168	-5.4363	-2.6276	1.0018	2400
theta[6,2]	-0.0662	0.3576	-0.7707	0.6323	1.0011	16000
theta[7,2]	-1.0442	0.4766	-1.9464	-0.0765	1.0014	4800
theta[8,2]	-1.5154	0.3554	-2.2372	-0.8473	1.0009	27000
theta[9,2]	-1.3115	0.3582	-2.0276	-0.6079	1.0011	11000
theta[10,2]	-1.78	0.4509	-2.7283	-0.9808	1.0014	4300
theta[11,2]	-0.9903	0.3885	-1.7192	-0.1882	1.001	27000
theta[12,2]	-1.3638	0.3189	-2.0037	-0.7429	1.0011	12000
theta[13,2]	-2.515	0.4215	-3.3407	-1.6875	1.001	27000
theta[14,2]	0.447	0.2806	-0.094	0.998	1.0011	14000
theta[14,3]	-1.0659	0.3316	-1.7077	-0.3942	1.0011	15000
theta[1,2]	-0.3531	0.2875	-0.9372	0.193	1.001	27000
theta[2,2]	-0.2104	0.3187	-0.879	0.3928	1.001	20000
theta[3,2]	0.0882	0.2421	-0.3841	0.568	1.0011	12000
theta[4,2]	-0.0535	0.1562	-0.3625	0.2508	1.001	27000
theta[5,2]	-0.2086	0.1999	-0.6171	0.17	1.0012	8300
theta[6,2]	0.1141	0.2377	-0.3492	0.5862	1.001	27000
theta[7,2]	0.3728	0.2613	-0.1378	0.8819	1.0011	18000
theta[8,2]	0.0666	0.1593	-0.2411	0.3811	1.001	27000
theta[9,2]	-0.3732	0.311	-0.9618	0.2761	1.0012	9100
theta[10,2]	-0.0656	0.2643	-0.5912	0.4482	1.001	27000
theta[11,2]	0.1962	0.1695	-0.1342	0.5306	1.001	23000
theta[12,2]	-0.122	0.1922	-0.4942	0.2589	1.0011	12000
theta[13,2]	0.1457	0.273	-0.389	0.6803	1.0009	27000
theta[14,2]	-0.0334	0.2059	-0.4193	0.394	1.0011	14000
theta[15,2]	0.4352	0.2859	-0.1118	1.0185	1.0011	14000
theta[15,3]	-0.0172	0.2525	-0.5123	0.4949	1.0009	27000
theta[1,2]	0.3333	0.2371	-0.1185	0.8089	1.001	27000
theta[2,2]	0.993	0.2466	0.5205	1.4841	1.001	27000
theta[3,2]	-0.2139	0.2627	-0.7385	0.2927	1.001	27000
theta[4,2]	0.8517	0.2786	0.3056	1.3989	1.001	23000
theta[5,2]	-0.265	0.1894	-0.6401	0.1012	1.0012	7400
theta[1,2]	-3.6408	0.7601	-5.2342	-2.245	1.001	27000
theta[2,2]	-2.1395	0.8246	-3.7591	-0.52	1.001	27000
theta[3,2]	-2.8483	1.3249	-5.6877	-0.4195	1.0011	16000
theta[4,2]	-2.71	0.6105	-3.9419	-1.548	1.0011	15000
theta[5,2]	-0.7238	0.1311	-0.9807	-0.4606	1.001	27000
theta[6,2]	-49.7203	30.8941	-109.9331	-3.1562	1.2479	12
theta[7,2]	0.8537	1.2221	-1.3377	3.5281	1.001	27000
theta[8,2]	-0.7794	0.3547	-1.4872	-0.1013	1.0014	4000
theta[9,2]	0.7957	0.9125	-0.8972	2.7331	1.001	21000
theta[10,2]	0.1421	0.4916	-0.8186	1.1088	1.001	21000
theta[11,2]	0.4565	0.4466	-0.4063	1.3569	1.0011	14000
theta[12,2]	-0.465	0.8216	-2.2029	1.0269	1.0011	16000
theta[13,2]	-0.2392	1.1299	-2.6586	1.8241	1.0009	27000
theta[14,2]	0.7627	0.5529	-0.2828	1.8907	1.0011	14000
theta[15,2]	-0.485	0.5387	-1.5693	0.5471	1.0011	11000
theta[16,2]	0.0561	0.4547	-0.8009	0.9699	1.0014	4500
theta[1,2]	0.0987	0.2135	-0.3205	0.5217	1.001	27000
theta[2,2]	0.0902	0.2123	-0.3209	0.5079	1.0011	18000
theta[3,2]	-0.1897	0.1863	-0.5777	0.1631	1.0012	6600
theta[4,2]	-0.0321	0.182	-0.3725	0.3454	1.0012	7600
theta[5,2]	-0.1881	0.1795	-0.5403	0.1608	1.001	27000
theta[6,2]	-0.118	0.1229	-0.3612	0.1246	1.0012	7600
theta[1,2]	-0.4378	0.3539	-1.1534	0.2845	1.001	26000
theta[2,2]	-0.6302	0.373	-1.4933	-2e-04	1.0013	5500
theta[3,2]	-0.4555	0.2509	-0.9576	0.0337	1.001	27000
theta[4,2]	-0.4802	0.3215	-1.155	0.1444	1.001	27000
theta[5,2]	-0.3822	0.2233	-0.8156	0.0624	1.0009	27000
theta[6,2]	-0.2848	0.4754	-1.2966	0.5924	1.0009	27000
theta[7,2]	-0.0876	0.3505	-0.7758	0.5964	1.001	27000
theta[8,2]	-1.495	0.5343	-2.5653	-0.4704	1.001	27000
theta[9,2]	-1.5775	0.4974	-2.5968	-0.6424	1.0011	17000
theta[10,2]	-1.3819	0.5865	-2.5008	-0.1854	1.0011	12000
theta[11,2]	-3.6499	0.9864	-5.7891	-1.9105	1.0018	2400
theta[12,2]	0.7461	0.524	-0.1631	1.9218	1.0015	3500
theta[13,2]	0.627	0.3536	-0.0558	1.3353	1.0016	3000
theta[14,2]	0.6655	0.479	-0.2164	1.6828	1.0013	5800
theta[15,2]	1.0445	0.7552	-0.3742	2.6051	1.001	22000
theta[16,2]	1.3796	0.9373	-0.4185	3.3	1.001	27000
theta[17,2]	-2.4367	0.9624	-4.4896	-0.6563	1.0012	7400
theta[18,2]	0.8735	1.0415	-1.0687	3.0559	1.0014	4400
theta[19,2]	3.054	0.9049	1.4689	5.0263	1.0016	2900
theta[19,3]	0.3655	0.4625	-0.6337	1.215	1.0014	4200
theta[1,2]	0.0926	0.2147	-0.3474	0.5145	1.001	27000
theta[2,2]	0.2699	0.228	-0.142	0.7601	1.001	27000
theta[3,2]	0.1152	0.2039	-0.2971	0.5169	1.001	22000
theta[4,2]	0.1497	0.2091	-0.2668	0.5679	1.001	27000
theta[5,2]	0.1727	0.2215	-0.2585	0.63	1.001	27000
theta[6,2]	0.0583	0.2478	-0.4665	0.529	1.001	27000
theta[7,2]	-0.0546	0.2175	-0.5193	0.3297	1.001	27000
theta[8,2]	0.1173	0.2333	-0.3615	0.582	1.001	27000
theta[9,2]	0.2331	0.2287	-0.1925	0.7135	1.001	22000
theta[10,2]	0.186	0.2221	-0.2434	0.6429	1.0012	7400
theta[11,2]	0.0265	0.2119	-0.4204	0.4278	1.0009	27000
theta[12,2]	0.1544	0.1716	-0.189	0.4948	1.001	27000
theta[13,2]	0.1372	0.1879	-0.2392	0.5128	1.001	27000
theta[14,2]	-0.1151	0.279	-0.6651	0.4482	1.001	27000
theta[15,2]	0.0917	0.2377	-0.3783	0.556	1.001	22000
theta[16,2]	0.7624	0.2475	0.2756	1.2467	1.001	27000
theta[17,2]	0.6153	0.281	0.0553	1.1526	1.001	27000
theta[18,2]	0.7409	0.3158	0.1277	1.3719	1.0009	27000
theta[19,2]	0.1252	0.2224	-0.2957	0.5803	1.0012	7100
theta[20,2]	-0.2893	0.2194	-0.7235	0.1411	1.0011	15000
theta[21,2]	-0.316	0.23	-0.7797	0.1354	1.001	27000
theta[22,2]	-0.3366	0.1695	-0.6687	-0.0079	1.001	26000
theta[23,2]	-0.1021	0.2286	-0.517	0.3784	1.0011	13000
theta[24,2]	-0.8467	0.583	-1.9008	0.3529	1.0013	5400
theta[25,2]	0.02	0.1895	-0.3339	0.4149	1.0011	11000
theta[26,2]	-0.017	0.2207	-0.4374	0.4427	1.0011	14000
theta[27,2]	-0.3819	0.2114	-0.8235	8e-04	1.001	27000
theta[28,2]	-0.0735	0.2278	-0.5206	0.3889	1.001	27000
theta[29,2]	0.181	0.2974	-0.3958	0.7746	1.0012	9100
theta[30,2]	0.1344	0.3169	-0.4922	0.7632	1.0011	10000
theta[31,2]	0.2242	0.3022	-0.359	0.8334	1.0011	16000
theta[32,2]	-0.8669	0.2498	-1.3883	-0.3844	1.0013	6400
theta[33,2]	-0.942	0.2027	-1.3674	-0.5623	1.0012	6800
theta[34,2]	-0.8537	0.241	-1.3483	-0.3861	1.0012	8800
theta[35,2]	-0.5563	0.1619	-0.8625	-0.224	1.0011	17000
theta[36,2]	-0.6692	0.1837	-1.0348	-0.3004	1.001	27000
theta[37,2]	-0.5329	0.2787	-1.0745	0.031	1.0011	15000
theta[38,2]	-1.0564	0.2542	-1.6116	-0.619	1.001	27000
theta[39,2]	-0.8109	0.2455	-1.3164	-0.328	1.001	27000
theta[40,2]	-0.6436	0.2271	-1.0692	-0.1708	1.001	27000
theta[41,2]	-0.6934	0.2191	-1.1095	-0.2394	1.001	25000
theta[42,2]	-0.8406	0.2479	-1.3621	-0.3674	1.0011	14000
theta[43,2]	-0.7941	0.2234	-1.2435	-0.3491	1.001	27000
theta[44,2]	-0.292	0.2758	-0.8733	0.2191	1.0012	6900
theta[45,2]	0.1565	0.2885	-0.4075	0.731	1.0012	9200
theta[46,2]	-0.0989	0.2056	-0.5204	0.2852	1.0011	14000
theta[47,2]	0.1442	0.2363	-0.3146	0.6164	1.0012	9500
theta[48,2]	-0.0091	0.2688	-0.5655	0.4997	1.001	27000
theta[49,2]	-0.0275	0.1832	-0.377	0.3495	1.0009	27000
theta[50,2]	-0.1034	0.2162	-0.5349	0.3288	1.0009	27000
theta[44,3]	-1.0342	0.262	-1.569	-0.5313	1.0011	11000
theta[45,3]	0.4649	0.3009	-0.0833	1.1006	1.0014	4700
theta[46,3]	-0.7157	0.2117	-1.1163	-0.284	1.001	20000
theta[47,3]	-0.5681	0.2258	-1.0071	-0.1226	1.0011	16000
theta[48,3]	-0.7945	0.257	-1.3359	-0.3286	1.001	25000
theta[49,3]	-0.7063	0.1816	-1.0528	-0.3382	1.001	27000
theta[50,3]	-0.6297	0.2312	-1.0542	-0.1443	1.001	27000
theta[1,2]	0.8194	0.3845	0.1375	1.6669	1.001	27000
theta[2,2]	0.5262	0.2959	-0.0689	1.0944	1.0009	27000
theta[3,2]	0.5821	0.3322	-0.0598	1.2484	1.001	20000
theta[4,2]	0.6898	0.3315	0.0488	1.3523	1.001	27000
theta[5,2]	0.1545	0.5028	-0.8021	1.2121	1.001	27000
theta[1,2]	0.2708	0.2948	-0.3046	0.8484	1.0012	6900
theta[2,2]	-0.9506	0.2361	-1.4231	-0.4956	1.001	27000
theta[3,2]	-1.5451	0.5754	-2.7522	-0.5101	1.0009	27000
theta[4,2]	-0.3022	0.2602	-0.8113	0.2125	1.001	27000
theta[5,2]	-0.3948	0.1499	-0.6883	-0.0968	1.001	27000
theta[6,2]	-1.0699	0.1906	-1.4403	-0.6953	1.001	27000
theta[7,2]	-2.0454	0.6454	-3.3691	-0.8243	1.001	27000
theta[8,2]	-0.9957	0.2602	-1.496	-0.4869	1.0012	7100
theta[9,2]	-0.6997	0.3356	-1.3286	-0.0252	1.0014	4700
theta[10,2]	-0.329	0.265	-0.837	0.1882	1.001	26000
theta[11,2]	-0.451	0.35	-1.1167	0.2498	1.0017	2800
theta[12,2]	-0.5058	0.2854	-1.0499	0.0598	1.0017	2700
theta[13,2]	-0.1199	0.1758	-0.4562	0.2244	1.0011	18000
theta[14,2]	-0.5713	0.204	-0.9724	-0.1714	1.0012	9600
theta[15,2]	-0.8392	0.741	-2.3207	0.5693	1.001	21000
theta[16,2]	0.2078	0.4238	-0.6116	1.0539	1.0009	27000
theta[17,2]	-1.6126	0.8285	-3.4778	-0.2064	1.001	25000
theta[18,2]	-1.4881	0.7099	-3.0183	-0.2514	1.001	27000
theta[19,2]	0.202	0.2103	-0.2077	0.6145	1.0012	6900
theta[20,2]	0.6498	0.5505	-0.4303	1.7344	1.001	27000
theta[21,2]	-0.6644	0.4184	-1.4959	0.1399	1.001	27000
theta[22,2]	0.06	0.3801	-0.6827	0.8105	1.0011	13000
theta[23,2]	0.6238	0.184	0.2594	0.9843	1.001	27000
theta[24,2]	0.4875	0.3511	-0.194	1.1733	1.0012	9000
theta[25,2]	-1.8056	0.4338	-2.6793	-0.9724	1.0009	27000
theta[26,2]	-1.1663	0.2283	-1.6154	-0.7195	1.001	27000
theta[27,2]	-1.78	0.2785	-2.3113	-1.2268	1.001	27000
theta[28,2]	5e-04	0.2544	-0.491	0.5021	1.0012	9000
theta[28,3]	-0.431	0.2857	-0.9715	0.1441	1.0012	6600
theta[1,2]	-0.846	0.2235	-1.2926	-0.412	1.001	19000
theta[2,2]	-0.7728	0.2037	-1.1737	-0.3707	1.0009	27000
theta[3,2]	-0.9804	0.3083	-1.6499	-0.4309	1.0011	12000
theta[4,2]	-0.2656	0.226	-0.7028	0.1975	1.001	27000
theta[5,2]	-0.3654	0.151	-0.667	-0.0723	1.001	27000
theta[6,2]	-0.3077	0.1745	-0.647	0.0387	1.001	27000
theta[7,2]	-2.0321	0.4389	-2.9015	-1.1816	1.0016	2900
theta[8,2]	-0.8295	0.2591	-1.3919	-0.3656	1.001	26000
theta[9,2]	-0.4857	0.1754	-0.8186	-0.1301	1.001	27000
theta[10,2]	-0.6431	0.19	-1.0188	-0.2751	1.0011	18000
theta[11,2]	-0.5436	0.237	-0.9918	-0.0588	1.001	27000
theta[12,2]	-0.4623	0.2145	-0.8656	-0.0231	1.0011	12000
theta[13,2]	-0.8357	0.2001	-1.2496	-0.4636	1.0012	8900
theta[1,2]	-0.3839	0.317	-1.002	0.2391	1.0015	3400
theta[2,2]	0.2992	0.2218	-0.129	0.7383	1.001	27000
theta[3,2]	0.2535	0.3613	-0.4998	0.9498	1.0011	12000
theta[4,2]	-0.1356	0.1563	-0.4404	0.1689	1.001	27000
theta[5,2]	-0.2146	0.3417	-0.9528	0.4057	1.0011	13000
theta[6,2]	-0.0782	0.1469	-0.3682	0.2058	1.001	27000
theta[7,2]	-0.3709	0.1964	-0.7599	0.0127	1.0012	9600
