mean	sd	2.5%	97.5%
delta[5,2]	0.0663	0.2401	-0.4055	0.5343
delta[6,2]	-0.0041	0.2348	-0.4898	0.476
delta[7,2]	0.1673	0.2174	-0.2017	0.6512
delta[8,2]	-0.0638	0.1851	-0.4485	0.2856
delta[9,2]	0.0177	0.235	-0.4456	0.5131
delta[10,2]	0.0929	0.212	-0.284	0.561
delta[11,2]	-0.05	0.1849	-0.4366	0.3033
delta[12,2]	0.0467	0.2202	-0.3621	0.5181
delta[13,2]	-0.0627	0.1164	-0.2951	0.1631
delta[14,2]	-0.2484	0.3633	-0.9655	0.4568
delta[15,2]	-0.2636	0.3851	-1.0164	0.4848
delta[1,2]	-0.2078	0.2949	-0.802	0.3625
delta[2,2]	-0.2144	0.2448	-0.6978	0.2635
delta[3,2]	-0.5564	0.1928	-0.969	-0.2019
delta[4,2]	-0.5295	0.1674	-0.8593	-0.1958
delta[5,2]	-0.5139	0.2088	-0.9539	-0.1134
delta[6,2]	-0.4425	0.1958	-0.8211	-0.0422
delta[7,2]	-0.5476	0.1714	-0.8932	-0.2093
delta[8,2]	-0.4733	0.1741	-0.8184	-0.1257
delta[9,2]	-0.1651	0.2675	-0.6985	0.348
delta[10,2]	0.1215	0.1933	-0.2458	0.5213
delta[11,2]	-0.0883	0.2553	-0.5946	0.4123
delta[12,2]	-0.4477	0.146	-0.7207	-0.1466
delta[13,2]	0.5448	0.3151	-0.0509	1.1875
delta[14,2]	-0.6885	0.3038	-1.2823	-0.093
delta[15,2]	-0.4653	0.2008	-0.862	-0.0587
delta[16,2]	-0.6252	0.1938	-1.0419	-0.2708
delta[17,2]	0.1025	0.1683	-0.2214	0.4398
delta[18,2]	-0.1583	0.3562	-0.8425	0.5544
delta[19,2]	0.5369	0.3326	-0.1034	1.2006
delta[20,2]	0.4444	0.3175	-0.1827	1.0621
delta[21,2]	-0.2567	0.515	-1.2705	0.7442
delta[17,3]	-0.4993	0.1755	-0.8562	-0.1541
delta[18,3]	-0.6907	0.3339	-1.3499	-0.0364
delta[19,3]	0.3906	0.2841	-0.1447	0.9735
delta[20,3]	0.2953	0.2655	-0.2269	0.8148
delta[21,3]	-0.7702	0.4396	-1.6185	0.099
delta[19,4]	-0.1157	0.2704	-0.6313	0.4423
delta[20,4]	-0.1747	0.2523	-0.6728	0.3274
delta[21,4]	-0.9127	0.452	-1.7974	-0.0213
delta[1,2]	-0.2273	0.1752	-0.5618	0.1316
delta[2,2]	-0.1342	0.2075	-0.5002	0.3199
delta[3,2]	-0.3052	0.1742	-0.6607	0.0339
delta[4,2]	-0.3698	0.1823	-0.7544	-0.0348
delta[5,2]	-0.3169	0.1751	-0.6775	0.0166
delta[6,2]	-0.4825	0.3328	-1.1348	0.1701
delta[1,2]	-1.0692	0.4862	-2.0265	-0.1236
delta[2,2]	-1.1944	0.4319	-2.0223	-0.3266
delta[3,2]	-2.1403	0.4267	-2.9851	-1.3108
delta[4,2]	-0.9007	0.3191	-1.521	-0.2731
delta[5,2]	-2.0155	0.2732	-2.5484	-1.4832
delta[6,2]	-1.0139	0.3268	-1.6529	-0.3689
delta[7,2]	-1.3819	0.3115	-1.9937	-0.772
delta[8,2]	-0.5203	0.2418	-0.9942	-0.0452
