mean	sd	2.5%	97.5%
delta[6,2]	0.0747	0.2413	-0.4446	0.5277
delta[7,2]	-0.028	0.218	-0.5012	0.357
delta[8,2]	0.1256	0.2245	-0.3359	0.5665
delta[9,2]	0.2323	0.2196	-0.1774	0.6993
delta[10,2]	0.1899	0.2153	-0.2386	0.634
delta[11,2]	0.0385	0.2089	-0.4103	0.4242
delta[12,2]	0.1576	0.1703	-0.1775	0.5002
delta[13,2]	0.141	0.184	-0.2257	0.5052
delta[14,2]	-0.1315	0.2791	-0.681	0.433
delta[15,2]	-0.0282	0.2512	-0.5203	0.4664
delta[16,2]	0.7597	0.2491	0.2697	1.2474
delta[17,2]	0.6218	0.2753	0.0683	1.146
delta[18,2]	0.7349	0.3082	0.1307	1.3438
delta[19,2]	0.1215	0.2209	-0.2934	0.5746
delta[20,2]	-0.3022	0.219	-0.7349	0.1347
delta[21,2]	-0.3325	0.2271	-0.788	0.1111
delta[22,2]	-0.3436	0.1796	-0.7015	0.0043
delta[23,2]	-0.1453	0.2345	-0.5762	0.3483
delta[24,2]	-0.8585	0.6659	-2.1547	0.4298
delta[25,2]	0.0128	0.1876	-0.3358	0.4047
delta[26,2]	-0.0208	0.217	-0.429	0.4381
delta[27,2]	-0.3638	0.209	-0.8034	0.0132
delta[28,2]	-0.0729	0.2239	-0.5089	0.3888
delta[29,2]	0.2906	0.3013	-0.2981	0.8955
delta[30,2]	0.2556	0.315	-0.3674	0.8839
delta[31,2]	0.3286	0.3003	-0.2481	0.9331
delta[32,2]	-0.852	0.2445	-1.3592	-0.3794
delta[33,2]	-0.9226	0.2019	-1.3453	-0.5495
delta[34,2]	-0.8381	0.2362	-1.3246	-0.382
delta[35,2]	-0.5517	0.1586	-0.8553	-0.2294
delta[36,2]	-0.658	0.1824	-1.0215	-0.3001
delta[37,2]	-0.565	0.2703	-1.0851	-0.0188
delta[38,2]	-1.0029	0.2574	-1.5745	-0.5668
delta[39,2]	-0.7872	0.2389	-1.2815	-0.3207
delta[40,2]	-0.6359	0.2213	-1.043	-0.1642
delta[41,2]	-0.6811	0.2112	-1.084	-0.2434
delta[42,2]	-0.8161	0.2439	-1.3311	-0.3509
delta[43,2]	-0.7791	0.2173	-1.2238	-0.3523
delta[44,2]	-0.2877	0.272	-0.8576	0.2188
delta[45,2]	0.3528	0.2967	-0.2179	0.9467
delta[46,2]	-0.0866	0.2028	-0.5036	0.2941
delta[47,2]	0.0996	0.2322	-0.3563	0.562
delta[48,2]	-0.0783	0.2625	-0.6221	0.418
delta[49,2]	-0.0309	0.1787	-0.3683	0.3342
delta[50,2]	-0.0948	0.2148	-0.5218	0.3382
delta[44,3]	-1.0428	0.2669	-1.5874	-0.5405
delta[45,3]	0.3819	0.2914	-0.1484	1.0011
delta[46,3]	-0.7081	0.2078	-1.1062	-0.2815
delta[47,3]	-0.5894	0.2231	-1.0279	-0.1451
delta[48,3]	-0.809	0.2598	-1.35	-0.3285
delta[49,3]	-0.6959	0.1797	-1.0392	-0.3295
delta[50,3]	-0.6251	0.2218	-1.0336	-0.1589
delta[1,2]	0.7796	0.3816	0.1054	1.6128
delta[2,2]	0.5075	0.291	-0.0747	1.0719
delta[3,2]	0.5701	0.327	-0.0653	1.2111
delta[4,2]	0.6692	0.3263	0.0245	1.308
delta[5,2]	0.153	0.4908	-0.8083	1.1488
delta[1,2]	0.2215	0.2902	-0.3352	0.7955
delta[2,2]	-0.9044	0.2402	-1.3718	-0.4348
delta[3,2]	-1.2739	0.5588	-2.4644	-0.3019
delta[4,2]	-0.322	0.2542	-0.8155	0.1766
delta[5,2]	-0.4051	0.1588	-0.7129	-0.0918
delta[6,2]	-1.081	0.203	-1.4785	-0.6804
delta[7,2]	-1.9633	0.635	-3.2008	-0.7272
delta[8,2]	-0.9973	0.2842	-1.5584	-0.4468
delta[9,2]	-0.7411	0.3648	-1.4538	-0.0237
delta[10,2]	-0.3636	0.2929	-0.9368	0.2163
delta[11,2]	-0.4757	0.3769	-1.2072	0.2646
delta[12,2]	-0.5095	0.3155	-1.1263	0.1036
delta[13,2]	-0.122	0.1977	-0.5127	0.2655
delta[14,2]	-0.5734	0.2115	-0.99	-0.1629
delta[15,2]	-0.7951	0.7084	-2.1767	0.6028
delta[16,2]	0.2798	0.4175	-0.5278	1.0957
delta[17,2]	-0.7328	0.8059	-2.5159	0.6753
delta[18,2]	-0.8146	0.7588	-2.4381	0.5341
delta[19,2]	0.1964	0.2201	-0.2314	0.6368
delta[20,2]	0.6339	0.554	-0.4584	1.7274
delta[21,2]	-0.6057	0.4075	-1.4142	0.1824
delta[22,2]	-0.0013	0.3831	-0.7384	0.7599
delta[23,2]	0.6376	0.1981	0.2482	1.0268
delta[24,2]	0.4465	0.3669	-0.2616	1.1768
delta[25,2]	-1.754	0.4296	-2.6394	-0.9423
delta[26,2]	-1.1952	0.2296	-1.6424	-0.7389
delta[27,2]	-1.7575	0.2892	-2.3328	-1.1956
delta[28,2]	0.0186	0.2726	-0.5154	0.5553
delta[28,3]	-0.4636	0.2993	-1.0441	0.1309
delta[1,2]	-0.8431	0.2233	-1.2863	-0.4066
delta[2,2]	-0.7707	0.2002	-1.1606	-0.3759
delta[3,2]	-0.9743	0.3133	-1.6577	-0.4105
delta[4,2]	-0.2668	0.2272	-0.7062	0.1915
delta[5,2]	-0.3667	0.1522	-0.6671	-0.0714
delta[6,2]	-0.3072	0.1749	-0.6483	0.038
delta[7,2]	-2.0399	0.451	-2.9265	-1.1548
delta[8,2]	-0.8323	0.2603	-1.3899	-0.3667
delta[9,2]	-0.499	0.1826	-0.8497	-0.1309
delta[10,2]	-0.6504	0.2003	-1.0477	-0.2578
delta[11,2]	-0.5354	0.2349	-0.9763	-0.0543
delta[12,2]	-0.4611	0.2136	-0.857	-0.0168
delta[13,2]	-0.8336	0.2013	-1.2415	-0.4536
delta[1,2]	-0.38	0.3182	-1.0031	0.2436
delta[2,2]	0.2966	0.2221	-0.1337	0.7323
delta[3,2]	0.2552	0.3597	-0.4877	0.96
delta[4,2]	-0.1327	0.1559	-0.438	0.1717
delta[5,2]	-0.2104	0.3418	-0.9409	0.4183
delta[6,2]	-0.0804	0.1473	-0.3718	0.2069
delta[7,2]	-0.3676	0.1981	-0.7545	0.0245
