mean	sd	2.5%	97.5%	Rhat	n.eff
LOR.ref[5]	1.4742	0.6298	0.2392	2.7033	1.001	27000
LOR.ref[1]	2.0204	0.8253	0.3629	3.6825	1.001	27000
LOR.ref[2]	1.6804	0.7918	0.0785	3.282	1.0012	8800
LOR.ref[3]	0.7571	0.4888	-0.2784	1.6667	1.0011	18000
LOR.ref[1]	0.2331	0.2545	-0.2899	0.7493	1.001	24000
LOR.ref[2]	-0.6087	0.181	-0.9791	-0.2633	1.0011	17000
LOR.ref[3]	-0.454	0.2787	-1.022	0.0906	1.001	22000
LOR.ref[4]	0.0112	0.441	-0.9103	0.8748	1.0012	9200
LOR.ref[5]	0.3698	0.4456	-0.566	1.2519	1.0011	15000
LOR.ref[6]	0.2165	0.4694	-0.7631	1.1512	1.002	1800
LOR.ref[8]	-0.9826	0.2331	-1.446	-0.5303	1.0012	8600
LOR.ref[2]	0.7928	0.2937	0.2141	1.3699	1.0028	1100
LOR.ref[3]	0.9212	0.2072	0.5122	1.3249	1.0013	6300
LOR.ref[4]	1.1193	0.3141	0.5006	1.7366	1.0013	6300
LOR.ref[5]	1.898	0.5564	0.8222	3.0112	1.0013	6100
LOR.ref[6]	0.8211	0.6032	-0.3669	1.9942	1.0011	12000
LOR.ref[7]	1.9732	0.3522	1.2894	2.6811	1.0011	16000
LOR.ref[8]	3.2094	0.925	1.4656	5.1089	1.0013	6000
LOR.ref[9]	0.4741	0.8173	-1.1452	2.1294	1.001	27000
LOR.ref[10]	1.6372	0.2377	1.1776	2.1093	1.0014	4200
LOR.ref[11]	1.577	0.4063	0.7865	2.379	1.0021	1800
LOR.ref[12]	1.467	0.5118	0.4755	2.4823	1.001	25000
LOR.ref[13]	1.4625	0.4064	0.6984	2.295	1.001	27000
LOR.ref[14]	1.5063	1.2375	-0.7716	4.0182	1.0064	370
LOR.ref[15]	2.0175	0.7868	0.4999	3.5962	1.0011	16000
LOR.ref[16]	1.3044	0.7127	-0.0503	2.7394	1.0013	5300
LOR.ref[17]	1.5274	0.5972	0.339	2.6883	1.001	21000
LOR.ref[18]	1.4	0.2313	0.9583	1.8656	1.0009	27000
LOR.ref[19]	1.8936	0.8262	0.2836	3.5	1.001	26000
LOR.ref[20]	1.3055	0.7266	-0.102	2.7562	1.0015	3600
LOR.ref[21]	0.3589	0.9817	-1.5924	2.2946	1.0012	6700
LOR.ref[22]	0.371	0.9661	-1.5499	2.3081	1.0012	9300
LOR.ref[1]	1.296	0.229	0.8482	1.7592	1.001	27000
LOR.ref[2]	3.2143	0.6003	2.0898	4.4751	1.0013	5700
LOR.ref[3]	1.3353	0.4214	0.4811	2.1565	1.001	27000
LOR.ref[1]	-0.1149	0.2551	-0.6045	0.4098	1.001	27000
LOR.ref[2]	-0.3884	0.2635	-0.9058	0.1318	1.001	27000
LOR.ref[3]	-0.5188	0.4421	-1.3885	0.3602	1.001	19000
LOR.ref[4]	0.0647	0.3527	-0.6303	0.7735	1.001	27000
LOR.ref[6]	0.0505	0.2867	-0.5122	0.6188	1.001	27000
LOR.ref[7]	-0.5488	0.3696	-1.2837	0.169	1.001	26000
LOR.ref[8]	-0.431	0.287	-0.9865	0.1382	1.001	22000
LOR.ref[9]	0.145	0.3596	-0.5683	0.8501	1.001	27000
LOR.ref[10]	-0.1216	0.2018	-0.5138	0.2836	1.0012	7100
LOR.ref[1]	0.0984	0.4651	-0.8267	1.0179	1.001	27000
LOR.ref[3]	0.6398	0.715	-0.7654	2.0645	1.001	27000
LOR.ref[4]	-0.2625	0.5411	-1.3718	0.8154	1.0009	27000
LOR.ref[5]	0.9722	0.4662	0.0497	1.881	1.001	20000
LOR.ref[1]	-0.4641	0.7451	-1.9475	1.0018	1.001	27000
LOR.ref[2]	49.7041	30.9008	3.1145	110.1019	1.2476	12
LOR.ref[3]	-0.5098	0.8315	-2.2252	1.0849	1.001	27000
LOR.ref[5]	0.2493	1.191	-2.1417	2.5803	1.001	19000
LOR.ref[6]	-0.4347	1.0172	-2.5478	1.5088	1.001	27000
LOR.ref[7]	-2.4127	0.8215	-4.1031	-0.8806	1.001	27000
LOR.ref[1]	0.1894	0.2797	-0.3504	0.7254	1.0011	27000
LOR.ref[2]	-0.0932	0.2424	-0.5655	0.3769	1.001	27000
LOR.ref[3]	0.1185	0.2474	-0.3767	0.6113	1.001	27000
LOR.ref[4]	0.1114	0.2153	-0.3078	0.5336	1.0011	16000
LOR.ref[1]	0.4867	0.2522	0.0118	1.0113	1.001	22000
LOR.ref[2]	1.4797	0.5099	0.4912	2.5005	1.001	27000
LOR.ref[3]	3.6235	0.9428	1.966	5.674	1.0022	1600
LOR.ref[4]	1.3583	1.1275	-0.7719	3.6875	1.0012	9400
LOR.ref[5]	0.1873	0.4404	-0.6557	1.0759	1.001	21000
LOR.ref[6]	1.1059	0.4571	0.2486	2.0511	1.0015	3900
LOR.ref[7]	2.5049	0.8795	0.8413	4.3016	1.001	23000
LOR.ref[1]	0.0968	0.1272	-0.1506	0.3438	1.001	27000
LOR.ref[2]	-0.5676	0.2876	-1.128	-0.0025	1.001	27000
LOR.ref[3]	-0.128	0.2169	-0.5533	0.2983	1.0011	14000
LOR.ref[4]	0.8453	0.6291	-0.4316	2.0001	1.0013	6500
LOR.ref[5]	0.0208	0.256	-0.4812	0.5298	1.001	27000
LOR.ref[6]	0.2873	0.1735	-0.0607	0.6318	1.0012	7900
LOR.ref[8]	0.1394	0.1072	-0.0712	0.3509	1.001	27000
LOR.ref[9]	-0.6826	0.1154	-0.9126	-0.4566	1.0013	5300
LOR.ref[2]	0.6482	0.3671	-0.0535	1.3931	1.001	27000
LOR.ref[3]	0.5849	0.504	-0.4	1.5839	1.0011	17000
LOR.ref[4]	0.7453	0.4512	-0.115	1.6811	1.0011	12000
LOR.ref[1]	1.8443	0.6253	0.5927	3.1019	1.001	27000
LOR.ref[2]	0.1196	0.6264	-1.1669	1.3702	1.0011	12000
LOR.ref[3]	0.8434	1.0117	-1.1131	2.8767	1.0014	4300
LOR.ref[4]	0.0121	0.9625	-1.855	1.9501	1.001	22000
LOR.ref[5]	0.5672	0.7208	-0.8956	2.0128	1.0012	7300
LOR.ref[6]	0.5288	0.4989	-0.4645	1.54	1.0011	9800
LOR.ref[7]	0.8152	0.4894	-0.1585	1.7904	1.0011	14000
LOR.ref[8]	0.6657	0.3864	-0.0673	1.478	1.001	27000
LOR.ref[9]	0.9623	0.6205	-0.1369	2.3133	1.001	27000
LOR.ref[10]	0.543	1.1634	-1.7188	2.8724	1.0015	3800
LOR.ref[11]	2.0485	0.9418	0.2055	3.9331	1.001	27000
LOR.ref[12]	1.0736	0.7148	-0.3486	2.5042	1.001	27000
LOR.ref[13]	0.1196	0.7113	-1.3023	1.5396	1.001	27000
LOR.ref[14]	0.2542	0.4302	-0.6176	1.097	1.001	27000
LOR.ref[15]	0.5038	0.4699	-0.4361	1.4466	1.001	27000
LOR.ref[1]	0.8668	0.2445	0.3985	1.3743	1.0012	7600
LOR.ref[2]	0.3113	0.2071	-0.1055	0.7159	1.0012	9000
LOR.ref[3]	2.0328	0.5213	1.0153	3.0584	1.0014	4300
LOR.ref[4]	0.6532	0.2163	0.2402	1.099	1.001	25000
LOR.ref[5]	0.6139	0.2213	0.1644	1.0436	1.0011	12000
LOR.ref[1]	0.1904	0.3004	-0.3823	0.8123	1.001	27000
LOR.ref[2]	0.3718	0.3629	-0.3501	1.0822	1.0011	11000
LOR.ref[3]	0.3825	0.4401	-0.4777	1.2357	1.0011	9900
LOR.ref[4]	0.0267	0.3006	-0.594	0.5924	1.0011	12000
LOR.ref[6]	0.6599	0.5514	-0.4338	1.722	1.0011	13000
